Name,Value,Comment
PATCH_MGR_ON_LOAD_PATCH_CHUNK_BAD_COMMAND,0x050,Patch Manager command handling received invalid command
PATCH_MGR_HANDLE_COMMAND_BAD_PARAM,0x051,Patch Manager command handling  received NULL pointer
PATCH_MGR_INIT_FAILED,0x052,Patch Manager failure on entry to PHASE_INITIALIZE
,,
SESSION_MGR_GET_CERTIFICATES_BAD_COMMAND ,0x070,Session Manager expects GetCertificates command code
SESSION_MGR_GET_CERTIFICATES_BAD_PARAMS,0x071,Session Manager expects valid params ptr to GetCertificates command
SESSION_MGR_SET_EPHEMERAL_MASTER_SECRET_BAD_COMMAND,0x072,Session Manager expects SetEphemeralMasterSecret command code
SESSION_MGR_SET_EPHEMERAL_MASTER_SECRET_BAD_PARAMS,0x073,Session Manager expects valid params ptr to SetEphemeralMasterSecret command
SESSION_MGR_SET_PSK_SESSION_KEY_BAD_COMMAND,0x074,Session Manager expects SetPskSessionKey command code
SESSION_MGR_SET_PSK_SESSION_KEY_BAD_PARAMS,0x075,Session Manager expects valid params ptr to SetPskSessionKey command
SESSION_MGR_SET_SESSION_KEY_BAD_COMMAND,0x076,Session Manager expects SetSessionKey command code
SESSION_MGR_SET_SESSION_KEY_BAD_PARAMS,0x077,Session Manager expects valid params ptr to SetSessionKey command
SESSION_MGR_SET_VIDEO_AUTH_ROI_BAD_COMMAND,0x078,Session Manager expects SetVideoAuthRoi command code
SESSION_MGR_SET_VIDEO_AUTH_ROI_BAD_PARAMS,0x079,Session Manager expects valid params ptr to SetVideoAuthRoi command
SESSION_MGR_NVM_MASTERSECRET_BAD_KEY,0x07A,MasterSecret asset in NVM has invalid key type
SESSION_MGR_NVM_MASTERSECRET_BAD_LENGTH,0x07B,MasterSecret asset in NVM has invalid length
SESSION_MGR_DISABLE_VCORE_CLOCK_FAILED,0x07C,Session Manager failed to disable the Vcore clock during initialisation
,,
UNUSED,0x080,Unused (was SysTickDrv)
,,
PLATFORM_CRITICAL_SECTION_NESTING_NOT_ZERO,0x090,Platform expects the critical section nesting to be non-zero
,,
CC312_PAL_TRNG_PARAM_NOT_SET,0x0A0,CC312 PAL expects the calibrated TRNG parameters to be copied before
,,
CRYPTO_MGR_GET_SENSOR_ID_BAD_ARGS,0x0B0,Crypto Manager detected wrong arguments in the GetSensorId function
CRYPTO_MGR_DERIVE_KEYS_BAD_ARGS,0x0B1,Crypto Manager detected wrong arguments in the derive keys function
CRYPTO_MGR_AUTHENTICATE_PATCH_CHUNK_BAD_ARGS,0x0B2,Crypto Manager detected wrong arguments in the authenticate patch chunk function
CRYPTO_MGR_AUTHENTICATE_ASSET_BAD_ARGS,0x0B3,Crypto Manager detected wrong arguments in the authenticate asset function
CRYPTO_MGR_SELF_TEST_BAD_ARGS,0x0B4,Crypto Manager detected wrong arguments in the self test function
CRYPTO_MGR_RSA_DECRYPT_BAD_ARGS,0x0B5,Crypto Manager detected wrong arguments in the RSA decryption function
CRYPTO_MGR_AEAD_DECRYPT_BAD_ARGS,0x0B6,Crypto Manager detected wrong arguments in the AEAD decryption function
CRYPTO_MGR_RANDOM_GENERATOR_BAD_ARGS,0x0B7,Crypto Manager detected wrong arguments in the random gen function
CRYPTO_MGR_BAD_KEY_SIZE_PARAM,0x0B8,Crypto Manager detected invalid ptr argument to GetSymmetricKeySize function
CRYPTO_MGR_BAD_IS_CALLED_PARAM,0x0B9,Crypto Manager detected invalid ptr argument to GetSensorIdCalled function
CRYPTO_MGR_ON_PHASE_ENTRY_CONFIGURATION,0x0BA,Crypto Manager detected a Fatal error during configuration
,,
NVM_MGR_BAD_PHASE,0x0C0,NvmMgrOnPhaseEntry called with bad phase
NVM_MGR_OTPM_CONFIGURATION_FAILED,0x0C1,NVM Manager  configuration of OTPM driver failed
NVM_MGR_FIND_ASSET_BAD_ARGS,0x0C2,NVM Manager internal parameter passing error
NVM_MGR_FIND_FIRST_BAD_PARAM_CONTEXT  ,0x0C3,NVM Manager unexpected NULL pointer passed into function
NVM_MGR_FIND_FIRST_BAD_PARAM_ASSET_ADDRESS,0x0C4,NVM Manager unexpected NULL pointer passed into function
NVM_MGR_FIND_FIRST_BAD_PARAM_ASSET_LENGTH,0x0C5,NVM Manager unexpected NULL pointer passed into function
NVM_MGR_FIND_FIRST_NOT_INITIALIZED,0x0C6,NVM manager component not initialized
NVM_MGR_FIND_NEXT_BAD_PARAM_CONTEXT,0x0C7,NVM Manager unexpected NULL pointer passed into function
NVM_MGR_FIND_NEXT_BAD_PARAM_ASSET_ADDRESS,0x0C8,NVM Manager unexpected NULL pointer passed into function
NVM_MGR_FIND_NEXT_BAD_PARAM_ASSET_LENGTH,0x0C9,NVM Manager unexpected NULL pointer passed into function
NVM_MGR_FIND_NEXT_NOT_INITIALIZED,0x0CA,NVM manager component not initialized
NVM_MGR_FIND_NEXT_BAD_MAGIC,0x0CB,NVM Manager unexpected NULL pointer passed into function
NVM_MGR_READ_ASSET_NOT_INITIALIZED,0x0CC,NVM manager component not initialized
NVM_MGR_READ_ASSET_BAD_PARAM_BUFFER,0x0CD,NVM Manager unexpected NULL pointer passed into function
NVM_MGR_WRITE_ASSET_NOT_INITIALIZED,0x0CE,NVM manager component not initialized
NVM_MGR_WRITE_ASSET_BAD_PARAM_BUFFER,0x0CF,NVM Manager unexpected NULL pointer passed into function
NVM_MGR_FIND_ASSET_BAD_PARAM_RECORD,0x0D0,NVM Manager unexpected NULL pointer passed into function
NVM_MGR_FIND_ASSET_BAD_PARAM_START_ADDRESS,0x0D1,NVM Manager unexpected NULL pointer passed into function
NVM_MGR_FIND_FREE_SPACE_BAD_PARAM_START_ADDRESS,0x0D2,NVM Manager unexpected NULL pointer passed into function
NVM_MGR_INIT_FAILED,0x0D3,NVM Manager failure on entry to PHASE_INITIALIZE
NVM_MGR_OTPM_DRV_CONFIGURE_FAILED,0x0D4,NVM Manager failure from OTPM configuration
NVM_MGR_ON_CLOCK_CHANGE_ASSET_RETRIEVAL_FAILED,0x0D5,NVM Manager failure from OTPM configuration
NVM_MGR_FIND_FREE_SPACE_LENGTH_NOT_ZERO_IN_EMPTY,0x0D6,NVM Manager asset type empty does not have an associated zero length field
NVM_MGR_FIND_ASSET_LENGTH_NOT_ZERO_IN_EMPTY,0x0D7,NVM Manager asset type empty does not have an associated zero length field
NVM_MGR_FIND_FREE_SPACE_BAD_RECORD_LENGTH,0x0D8,"NVM Manager, NvmMgrFindFreeSpace identified an invalid lentgh in a header record"
NVM_MGR_FIND_ASSET_BAD_RECORD_LENGTH,0x0D9,"NVM Manager, NvmMgrFindAsset identified an invalid lentgh in a header record"
NVM_MGR_FIND_ASSET_BAD_PARAM_START_ADDRESS_VALUE,0x0DA,"NVM Manager, NvmMgrFindAsset called with address pointer value beyond valid range"
NVM_MGR_FIND_FREE_SPACE_OTPM_READ_UNEXPECTED_ERROR,0x0DB,"NVM Manager, NvmMgrFindFreeSpace call to OtpmDrvRead() received unexpected error"
,,
ASSET_MGR_ON_PROVISION_ASSET_BAD_ARGS,0x0E0,Asset Manager unexpected bad arguments
ASSET_MGR_GET_PUBLIC_KEY_BAD_ARGS,0x0E1,Asset Manager unexpected bad arguments
ASSET_MGR_RETRIEVE_CERTIFICATE_BAD_ARGS,0x0E2,Asset Manager unexpected bad arguments
ASSET_MGR_RETRIEVE_PRIVATE_KEY_BAD_ARGS,0x0E3,Asset Manager unexpected bad arguments
ASSET_MGR_RETRIEVE_TRNG_BAD_ARGS,0x0E4,Asset Manager unexpected bad arguments
ASSET_MGR_RETRIEVE_PSK_BAD_ARGS,0x0E5,Asset Manager unexpected bad arguments
ASSET_MGR_RETRIEVE_OTPM_CONFIG_BAD_ARGS,0x0E6,Asset Manager unexpected bad arguments
,,
,,
PATCH_DEBUG_BAD_COMMAND,0x300,Test Patch command handler received invalid command
PATCH_DEBUG_BAD_PARAM,0x301,Test Patch command handler received NULL pointer
PATCH_DEBUG_FILL_STACK_ERROR,0x302,"Test Patch, error when executing PatchFillStack()"
,,
MAX,0x3FF,Maximum fatal error code value
